timestamp,topic,message
2025-11-27T12:31:54.700000+00:00,bhkw/error,False
2025-11-27T12:31:54.701000+00:00,bhkw/leistung/thermisch/ist,0
2025-11-27T12:31:54.703000+00:00,bhkw/temperatur/vorlauf,71.3
2025-11-27T12:31:54.759000+00:00,bhkw/temperatur/ruecklauf,30.6
2025-11-27T12:31:55.668000+00:00,bhkw/warning,True
2025-11-27T12:31:55.698000+00:00,bhkw/error,False
2025-11-27T12:31:55.698000+00:00,bhkw/leistung/thermisch/ist,0
2025-11-27T12:31:55.704000+00:00,bhkw/temperatur/vorlauf,71.3
2025-11-27T12:31:55.739000+00:00,bhkw/temperatur/ruecklauf,30.6
2025-11-27T12:31:56.672000+00:00,bhkw/warning,True
2025-11-27T12:31:56.721000+00:00,bhkw/temperatur/vorlauf,71.3
2025-11-27T12:31:56.724000+00:00,bhkw/error,False
2025-11-27T12:31:56.724000+00:00,bhkw/leistung/thermisch/ist,0
2025-11-27T12:31:56.741000+00:00,bhkw/temperatur/ruecklauf,30.6
2025-11-27T12:31:57.668000+00:00,bhkw/warning,True
2025-11-27T12:31:57.693000+00:00,bhkw/error,False
2025-11-27T12:31:57.698000+00:00,bhkw/leistung/thermisch/ist,0
2025-11-27T12:31:57.704000+00:00,bhkw/temperatur/vorlauf,71.3
2025-11-27T12:31:57.709000+00:00,bhkw/einschaltpunkt,60
2025-11-27T12:31:57.735000+00:00,bhkw/temperatur/ruecklauf,30.6
2025-11-27T12:31:57.750000+00:00,bhkw/ausschaltpunkt,30
2025-11-27T12:31:58.669000+00:00,bhkw/warning,True
2025-11-27T12:31:58.715000+00:00,bhkw/error,False
2025-11-27T12:31:58.717000+00:00,bhkw/temperatur/vorlauf,71.3
2025-11-27T12:31:58.720000+00:00,bhkw/leistung/thermisch/ist,0
2025-11-27T12:31:58.738000+00:00,bhkw/temperatur/ruecklauf,30.6
2025-11-27T12:31:59.676000+00:00,bhkw/warning,True
2025-11-27T12:31:59.695000+00:00,bhkw/error,False
2025-11-27T12:31:59.695000+00:00,bhkw/leistung/thermisch/ist,0
2025-11-27T12:31:59.706000+00:00,bhkw/temperatur/vorlauf,71.3
2025-11-27T12:31:59.745000+00:00,bhkw/temperatur/ruecklauf,30.6
2025-11-27T12:32:00.670000+00:00,bhkw/warning,True
